code,description,last_updated
49001003Patient had a medical visit in the last 6 months,Med visit w in 6mo,2025-09-12
50001003Documentation of patient pain brought to a comfortable level within 48 hours,Doc of pain comfort 48hr,2025-09-12
51001003Documentation of patient with pain not brought to a comfortable level within 48,Doc no pain comfort 48hr,2025-09-12
52001003Adenoma(s) or other neoplasm detected during screening colonoscopy,Neo detect scrn colo,2025-09-12
53001003Adenoma(s) or other neoplasm not detected during screening colonoscopy,No neo detect scrn colo,2025-09-12
54001003Documentation of patient discharged to home later than post-operative day 2,Doc pt dischg >2d,2025-09-12
55001003Documentation of patient discharged to home no later than post operative day 2,Pt dc home 2nd po day,2025-09-12
56001003Documentation of patient death following cas,Doc of pat death after cas,2025-09-12
57001003Documentation of patient stroke following cas,Doc of pat stroke after cas,2025-09-12
58001003Documentation of patient stroke following cea,Doc of pat stroke after cea,2025-09-12
59001003Documentation of patient survival and absence of stroke following cas,Survive/no stroke post cas,2025-09-12
60001003Documentation of patient death following cea,Doc of pat death after cea,2025-09-12
61001003Documentation of patient survival and absence of stroke following cea,Survive/no stroke post cea,2025-09-12
62001003Documentation of patient death in the hospital following endovascular aaa repai,Doc of death post-aaa repair,2025-09-12
63001003Documentation of patient discharged alive following endovascular aaa repair,Doc of disch post-aaa repair,2025-09-12
64001003Documentation of patient receiving maintenance hemodialysis for greater than or,Doc rsn hemod w/cath >=90d,2025-09-12
65001003Patient receiving maintenance hemodialysis for greater than or equal to 90 days,Doc cath >90d for maint dia,2025-09-12
66001003Patient receiving maintenance hemodialysis for greater than or equal to 90 days,Norsn pt cath >=90d,2025-09-12
67001003Documentation of patient with one or more complications or mortality within 30,Doc comp or mort w in 30d,2025-09-12
68001003Documentation of patient with one or more complications within 90 days,Doc comp or mort w in 90d,2025-09-12
69001003Documentation of patient without one or more complications and without,Doc no comp or mort w in 30d,2025-09-12
70001003Documentation of patient without one or more complications within 90 days,Doc no comp or mort w in 90d,2025-09-12
71001003Ldl value < 100,Ldl under 100,2025-09-12
72001003Ldl value >= 100,Ldl 100 and over,2025-09-12
73001003Blood pressure has a systolic value of < 140 and a diastolic value of < 90,Sys<140 and dia<90,2025-09-12
74001003Blood pressure has a systolic value of =140 and a diastolic value of = 90 or,Bp out of nrml limits,2025-09-12
75001003Documentation that patient is a current non-tobacco user,Doc of non tobacco user,2025-09-12
76001003Documentation that patient is a current tobacco user,Doc of tobacco user,2025-09-12
77001003Documentation that the patient is on daily aspirin or anti-platelet or has,Doc daily aspirin or contra,2025-09-12
78001003Documentation that the patient is not on daily aspirin or anti-platelet regimen,Doc no daily aspirin,2025-09-12
79001003Pneumococcal screening performed and documentation of vaccination received,Pne scrn done doc vac done,2025-09-12
"80001003Pneumococcal vaccination not administered prior to discharge, reason not",Pne not given norsn,2025-09-12
81001003Screening performed and documentation that vaccination not indicated/patient,Pne scrn done doc not ind,2025-09-12
82001003Documentation of medical reason(s) for not reporting the histological type or,Doc medrsn no histo type,2025-09-12
83001003Non small cell lung cancer biopsy and cytology specimen report documents,Hist type doc on report,2025-09-12
84001003Non small cell lung cancer biopsy and cytology specimen report does not,No hist type doc on report,2025-09-12
85001003Specimen site other than anatomic location of lung or is not classified as non,Site not small cell lung ca,2025-09-12
86001003Antibiotic regimen prescribed within 10 days after onset of symptoms,Antibio rx w in 10d of sympt,2025-09-12
87001003Antibiotic regimen not prescribed within 10 days after onset of symptoms,No antibio w in 10d of sympt,2025-09-12
88001003Documentation of medical reason(s) for not reporting the histological type or,Doc medrsn no hist type rpt,2025-09-12
89001003Non small cell lung cancer biopsy and cytology specimen report documents,Doc type nsm lung ca,2025-09-12
90001003Non small cell lung cancer biopsy and cytology specimen report does not,No doc type nsm lung ca,2025-09-12
"91001003Specimen site other than anatomic location of lung, is not classified as non",Not nsm lung ca,2025-09-12
92001003Documentation of medical reason(s) for not reporting pt category and a,Medrsn no pt category,2025-09-12
93001003Pathology report does not include the pt category and a statement on thickness,No pt category on report,2025-09-12
94001003Pathology report includes the pt category and a statement on thickness and,Pt cat and thck on report,2025-09-12
95001003Specimen site other than anatomic cutaneous location,Non cutaneous loc,2025-09-12
96001003Patients with documented shared decision-making including discussion of,Doc share dec prior proc,2025-09-12
97001003Shared decision-making including discussion of conservative (non-surgical),No doc share dec prior proc,2025-09-12
98001003Patients who are evaluated for venous thromboembolic and cardiovascular risk,Eval risk vte card 30d prior,2025-09-12
99001003Patients who are not evaluated for venous thromboembolic and cardiovascular,No eval risk vte card prior,2025-09-12
00001003Documentation of medical reason(s) for not completely infusing the prophylactic,Doc medrsn no compl antibio,2025-09-12
01001003Patients who had the prophylactic antibiotic completely infused prior to the,Doc compl inf antibio,2025-09-12
02001003Prophylactic antibiotic not completely infused prior to the inflation of the,Norsn incomp inf antibio,2025-09-12
03001003Operative report does not identify the prosthetic implant specifications,Norsn no pros info op rpt,2025-09-12
04001003Operative report identifies the prosthetic implant specifications including the,Pros info op rpt,2025-09-12
05001003Intervention for presence of leak of endoluminal contents through an,No interv req for leak,2025-09-12
06001003Intervention for presence of leak of endoluminal contents through an,Interv req for leak,2025-09-12
"07001003No return to the operating room for a surgical procedure, for complications of",No ret for surg w in 30d,2025-09-12
"08001003Unplanned return to the operating room for a surgical procedure, for",Unpl ret or w/compl w/in 30d,2025-09-12
09001003No unplanned hospital readmission within 30 days of principal procedure,No unplnd hosp readm in 30d,2025-09-12
10001003Unplanned hospital readmission within 30 days of principal procedure,Unplnd hosp readm in 30d,2025-09-12
11001003No surgical site infection,No surg site infection,2025-09-12
12001003Surgical site infection,Surgical site infection,2025-09-12
"13001003Amoxicillin, with or without clavulanate, not prescribed as first line",Amoxic not presc as 1st line,2025-09-12
"14001003Amoxicillin, with or without clavulanate, not prescribed as first line",Norsn not first line amox,2025-09-12
"15001003Amoxicillin, with or without clavulanate, prescribed as a first line antibiotic",Amox w/wo clav rx,2025-09-12
16001003Documentation of patient-specific risk assessment with a risk calculator based,Doc comm risk calc,2025-09-12
17001003Documentation of patient-specific risk assessment with a risk calculator based,No doc comm risk calc,2025-09-12
18001003Imaging study named according to standardized nomenclature,Image std nomenclature,2025-09-12
"19001003Imaging study not named according to standardized nomenclature, reason not give",Image not std nomenclature,2025-09-12
20001003Documentation of medical reason(s) for not naming ct studies according to a,Medrsn no std nomenclature,2025-09-12
21001003Count of previous ct (any type of ct) and cardiac nuclear medicine (myocardial,Prev ct nuc med cnt doc 12mo,2025-09-12
22001003Count of previous ct and cardiac nuclear medicine (myocardial perfusion or,No cnt ct nuc med doc 12mo,2025-09-12
23001003Documentation of medical reason(s) for not counting previous ct and cardiac,Mdrsn no doc cnt of ct,2025-09-12
"24001003All necessary data elements not included, reason not given",Not all data norsn,2025-09-12
25001003Ct studies not reported to a radiation dose index registry due to medical,Medrsn no ct rpt to reg,2025-09-12
26001003Ct studies performed not reported to a radiation dose index registry that is,"Ct done no rad ds index, nrg",2025-09-12
27001003Ct studies performed reported to a radiation dose index registry that is,Ct done rad ds index,2025-09-12
28001003Dicom format image data availability not documented in final report due to,Medrsn no dicom format doc,2025-09-12
29001003Dicom format image data available to non-affiliated external healthcare,Norsn no dicom format doc,2025-09-12
40001003Final report documented that dicom format image data available to,Dicom format doc on rpt,2025-09-12
41001003Search conducted for prior patient ct studies completed at non-affiliated,Srch for ct w in 12 mos,2025-09-12
42001003Search not conducted prior to an imaging study being performed for prior,No srch for ct in 12mo norsn,2025-09-12
"43001003Due to medical reasons, search not conducted for dicom format images for prior",Medrsn no dicom srch,2025-09-12
44001003Due to system reasons search not conducted for dicom format images for prior,Sysrsn no dicom srch,2025-09-12
45001003Follow-up recommendations documented according to recommended guidelines for,Follow up pulm nod,2025-09-12
46001003Follow-up recommendations not documented according to recommended guidelines,No follow up pulm nod,2025-09-12
47001003Follow-up recommendations not documented according to recommended guidelines,No follow up pulm nod norsn,2025-09-12
48001003Ct scan of the paranasal sinuses ordered at the time of diagnosis for,Doc rsn for ord ct scan,2025-09-12
49001003Ct scan of the paranasal sinuses ordered at the time of diagnosis or received,Ct within 28 days,2025-09-12
50001003Ct scan of the paranasal sinuses not ordered at the time of diagnosis or,No doc sinus ct 28d or dx,2025-09-12
51001003More than one ct scan of the paranasal sinuses ordered or received within 90,Doc >1 sinus ct w 90d dx,2025-09-12
52001003More than one ct scan of the paranasal sinuses ordered or received within 90,Not >1 sinus ct w 90d dx,2025-09-12
53001003More than one ct scan of the paranasal sinuses ordered or received within 90,Medrsn >1 sinus ct w 90d dx,2025-09-12
54001003One ct scan or no ct scan of the paranasal sinuses ordered within 90 days after,1 or no ct sinus w/in 90d dx,2025-09-12
55001003Elective delivery (without medical indication) by cesarean birth or induction,No early ind/delivery,2025-09-12
56001003Elective delivery (without medical indication) by cesarean birth or induction,Early ind/delivery,2025-09-12
"57001003Post-partum screenings, evaluations and education performed",Pp eval/edu perf,2025-09-12
"58001003Post-partum screenings, evaluations and education not performed",Pp eval/edu not perf,2025-09-12
59001003Documentation of negative or managed positive tb screen with further evidence,Neg mgd pos tb notact,2025-09-12
60001003No documentation of negative or managed positive tb screen,No doc of neg or man pos tb,2025-09-12
61001003Medical indication for delivery by cesarean birth or induction of labor (<39,Doc rsn elect c-sec/induct,2025-09-12
62001003Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb),Mac or pnb w/o genanes >60m,2025-09-12
63001003Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb),Mac or pnb w/o genanes <60m,2025-09-12
"64001003Sinusitis caused by, or presumed to be caused by, bacterial infection",Sinus caus bac inx,2025-09-12
65001003One high-risk medication ordered,1high risk med ord,2025-09-12
66001003One high-risk medication not ordered,1high risk no ord,2025-09-12
67001003At least two orders for high-risk medications from the same drug class,>= 2 same hi-rsk med ord,2025-09-12
68001003At least two orders for high-risk medications from the same drug class not,>= 2 same hi-rsk med not ord,2025-09-12
69001003Individual filled at least two prescriptions for any antipsychotic medication,Fill 2 rx antipsych,2025-09-12
70001003Individual who did not fill at least two prescriptions for any antipsychotic,Not fill 2 rx antipsych,2025-09-12
76001003Patient continued to have the retina attached at the 6 months follow up visit,Contd ret attach at 6mth f/u,2025-09-12
77001003Patient did not have the retina attached after 6 months following only one,No ret attach after 6mt,2025-09-12
78001003Patient continued to have the retina attached at the 6 months follow up visit,Contd ret attach f/u vis,2025-09-12
79001003Patient did not achieve flat retinas six months post surgery,No acheive flat ret 6mth,2025-09-12
80001003Patient offered assistance with end of life issues or existing end of life plan,Off assis eol iss,2025-09-12
81001003Documentation of medical reason(s) for not offering assistance with end of life,Doc med reas no offer eol,2025-09-12
82001003Patient not offered assistance with end of life issues or existing end of life,No off assis eol,2025-09-12
83001003Patient received screening for hcv infection within the 12 month reporting,Recd scrn hcv infec,2025-09-12
84001003Documentation of medical reason(s) for not receiving annual screening for hcv,Doc med rsn no hcv scrn,2025-09-12
85001003Documentation of patient reason(s) for not receiving annual screening for hcv,Doc pt reas not rec hcv srn,2025-09-12
"86001003Screening for hcv infection not received within the 12 month reporting period,",Scrn hcv infec not recd,2025-09-12
89001003Unplanned rupture of the posterior capsule requiring vitrectomy during cataract,Unpln rup post cap,2025-09-12
90001003No unplanned rupture of the posterior capsule requiring vitrectomy during,No unpln rup post cap,2025-09-12
"91001003Patient achieves refraction +-1 d for the eye that underwent cataract surgery,",Achv refrac +1d,2025-09-12
92001003Patient does not achieve refraction +-1 d for the eye that underwent cataract,Not achv refrac +1d,2025-09-12
93001003Patient with an initial phq-9 score greater than nine who achieves remission at,Ini phq9 >9 remiss <5,2025-09-12
"94001003Patient who had a diagnosis of bipolar disorder or personality disorder, death,","Dx bipol, death, nhres, hosp",2025-09-12
95001003Patient with an initial phq-9 score greater than nine who did not achieve,Ini phq9 >9 no remiss >=5,2025-09-12
96001003Patient with an initial phq-9 score greater than nine who was not assessed for,Ini phq9 >9 not assess,2025-09-12
99001003Documentation in the patient record of a discussion between the,Doc disc tx choices,2025-09-12
00001003Documentation of medical or patient reason(s) for not discussing treatment,Doc reas no disc tx opt,2025-09-12
01001003No documentation in the patient record of a discussion between the physician or,No disc tx choices,2025-09-12
02001003Patient received follow-up within 30 days after discharge,Recd f/u w/in 30d disch,2025-09-12
03001003Clinician documented reason patient was not able to complete 30 day follow-up,Doc reas no 30 day f/u,2025-09-12
04001003Patient did not receive follow-up within 30 days after discharge,No 30 day f/u,2025-09-12
05001003Patient received follow-up within 7 days after discharge,Recd f/u w/in 7d dc,2025-09-12
06001003Clinician documented reason patient was not able to complete 7 day follow-up,Doc reas no 7d f/u,2025-09-12
07001003Patient did not receive follow-up within 7 days after discharge,No 7d f/u,2025-09-12
08001003Patients with cardiac tamponade and/or pericardiocentesis occurring within 30,Card tamp w/in 30d,2025-09-12
09001003Patients without cardiac tamponade and/or pericardiocentesis occurring within,No card tamp e/in 30d,2025-09-12
"10001003Patient admitted within 180 days, status post cied implantation, replacement,",Admit w/in 180d req remov,2025-09-12
"11001003Patient not admitted within 180 days, status post cied implantation,",No admit w/in 180d req remov,2025-09-12
"12001003Patient admitted within 180 days, status post cied implantation, replacement,",Admit w/in 180d req surg rev,2025-09-12
"13001003Patient not admitted within 180 days, status post cied implantation,",No admit req surg rev,2025-09-12
"14001003Patient had one dose of meningococcal vaccine (serogroups a, c, w, y) on or",1dose menig vac btwn 11 & 13,2025-09-12
"15001003Patient did not have one dose of meningococcal vaccine (serogroups a, c, w, y)",No 1dose meni vac btwn 11&13,2025-09-12
"16001003Patient had one tetanus, diphtheria toxoids and acellular pertussis vaccine",Pt 1 tdap betw 10-13 yrs,2025-09-12
"17001003Patient did not have one tetanus, diphtheria toxoids and acellular pertussis",Pt not 1 tdap betw 10-13 yrs,2025-09-12
18001003Primary non-small cell lung cancer lung biopsy and cytology specimen report,Lungcx bx rpt docs class,2025-09-12
19001003Documentation of medical reason(s) for not including the histological type or,Med reas not incl histo type,2025-09-12
20001003Specimen site other than anatomic location of lung or is not classified as,Spec site no lung,2025-09-12
21001003Primary non-small cell lung cancer lung biopsy and cytology specimen report,Lung cx bx rpt no doc class,2025-09-12
"22001003Primary lung carcinoma resection report documents pt category, pn category and",Rpt doc class histo type,2025-09-12
"23001003Documentation of medical reason for not including pt category, pn category and",Med reas rpt no histo type,2025-09-12
"24001003Specimen site other than anatomic location of lung, or classified as nsclc-nos",Site no lung or lung cx,2025-09-12
"25001003Primary lung carcinoma resection report does not document pt category, pn",Spec rpt no doc class histo,2025-09-12
26001003Improvement in median time from ed arrival to initial ed oral or parenteral,Impr med time edarr pain med,2025-09-12
27001003Improvement in median time from ed arrival to initial ed oral or parenteral,No impro med time pain med,2025-09-12
"28001003Pathology report includes the pt category, thickness, ulceration and mitotic",Patho rpt incl pt ctg,2025-09-12
"29001003Documentation of medical reason(s) for not including pt category, thickness,",Doc med rsn no pt cat,2025-09-12
30001003Specimen site other than anatomic cutaneous location,Spec site no cutaneous,2025-09-12
"31001003Pathology report does not include the pt category, thickness, ulceration and",Patho rpt no pt ctg,2025-09-12
"32001003Asthma well-controlled based on the act, c-act, acq, or ataq score and results",Asth controlled,2025-09-12
"33001003Death, permanent nursing home resident or receiving hospice or palliative care","Death, nhres, hospice",2025-09-12
"34001003Asthma not well-controlled based on the act, c-act, acq, or ataq score, or",Asth not controlled,2025-09-12
35001003Aspirin prescribed at discharge,Asp presc disch,2025-09-12
"36001003Aspirin not prescribed for documented reasons (e.g., allergy, medical",Asp not presc doc reas,2025-09-12
37001003Aspirin not prescribed at discharge,Asp not presc disch,2025-09-12
38001003P2y inhibitor prescribed at discharge,P2y inhib presc,2025-09-12
"39001003P2y inhibitor not prescribed for documented reasons (e.g., allergy, medical",P2y inhib not presc doc reas,2025-09-12
40001003P2y inhibitor not prescribed at discharge,P2y inhib not presc,2025-09-12
41001003Statin prescribed at discharge,Statin presc disch,2025-09-12
"42001003Statin not prescribed for documented reasons (e.g., allergy, medical",Statin not presc doc reas,2025-09-12
43001003Statin not prescribed at discharge,Statin not presc disch,2025-09-12
48001003Patients who were born in the years 1945 to 1965,Born 1945-1965,2025-09-12
49001003History of receiving blood transfusions prior to 1992,Hx bld transf b/f 1992,2025-09-12
50001003History of injection drug use,Hx injec drug use,2025-09-12
51001003Patient received one-time screening for hcv infection,1x scrn hcv infect,2025-09-12
52001003Documentation of medical reason(s) for not receiving hcv antibody test due to,Doc med reas no hcv test,2025-09-12
53001003Documentation of patient reason(s) for not receiving one-time screening for hcv,Pt reas no hcv infect,2025-09-12
54001003One-time screening for hcv infection not received within 12-month reporting,No scr hcv inf 12 mth rp,2025-09-12
"55001003Patient underwent abdominal imaging with ultrasound, contrast enhanced ct or","Abd imag w/us, ct or mri",2025-09-12
56001003Documentation of medical or patient reason(s) for not ordering or performing,Doc med pt reas no hcc scrn,2025-09-12
57001003Patient did not undergo abdominal imaging and did not have a documented reason,Pt no abd img no doc rsn,2025-09-12
58001003Patient documented as tobacco user and received tobacco cessation intervention,Tob user recd cess interv,2025-09-12
59001003Currently a tobacco non-user,Tob non-user,2025-09-12
"60001003Tobacco assessment or tobacco cessation intervention not performed, reason not",No tob assess or cess inter,2025-09-12
63001003I intend to report the sinusitis measures group,Sinusitis intent,2025-09-12
64001003All quality actions for the applicable measures in the sinusitis measures group,Sinusitis comp,2025-09-12
65001003I intend to report the acute otitis externa (aoe) measures group,Aoe intent,2025-09-12
66001003All quality actions for the applicable measures in the aoe measures group have,Aoe comp,2025-09-12
67001003Patient who have received or are receiving corticosteroids greater than or,Recd cortico >=10mg/day >60d,2025-09-12
68001003Patient not receiving corticosteroids greater than or equal to 10 mg/day of,No recd cortico>=10mg/d >60d,2025-09-12
69001003Patients who have received or are receiving corticosteroids greater than or,Rec cortico>90d or 1rx 900mg,2025-09-12
70001003Patients not receiving corticosteroids greater than or equal to 10 mg/day of,No rec cortico>60d 1rx 600mg,2025-09-12
"71001003Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not",W/in 2yr dxa not order,2025-09-12
"72001003Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not",No dxa no med hx no rv sx,2025-09-12
"73001003Services performed by chaplain in the hospice setting, each 15 minutes",Chap services at hospice,2025-09-12
"74001003Services performed by dietary counselor in the hospice setting, each 15 minutes",Diet counsel at hospice,2025-09-12
"75001003Services performed by other counselor in the hospice setting, each 15 minutes",Other counselor at hospice,2025-09-12
"76001003Services performed by volunteer in the hospice setting, each 15 minutes",Volun service at hospice,2025-09-12
"77001003Services performed by care coordinator in the hospice setting, each 15 minutes",Care coord at hospice,2025-09-12
"78001003Services performed by other qualified therapist in the hospice setting, each 15",Othe therapist at hospice,2025-09-12
"79001003Services performed by qualified pharmacist in the hospice setting, each 15",Pharmacist at hospice,2025-09-12
80001003Admission to medicare care choice model program (mccm),Admission to mccm,2025-09-12
81001003Remote in-home visit for the evaluation and management of a new patient for use,Remote e/m new pt 10mins,2025-09-12
82001003Remote in-home visit for the evaluation and management of a new patient for use,Remote e/m new pt 20mins,2025-09-12
83001003Remote in-home visit for the evaluation and management of a new patient for use,Remote e/m new pt 30mins,2025-09-12
84001003Remote in-home visit for the evaluation and management of a new patient for use,Remote e/m new pt 45mins,2025-09-12
85001003Remote in-home visit for the evaluation and management of a new patient for use,Remote e/m new pt 60mins,2025-09-12
86001003Remote in-home visit for the evaluation and management of an established,Remote e/m est. pt 10mins,2025-09-12
87001003Remote in-home visit for the evaluation and management of an established,Remote e/m est. pt 15mins,2025-09-12
88001003Remote in-home visit for the evaluation and management of an established,Remote e/m est. pt 25mins,2025-09-12
89001003Remote in-home visit for the evaluation and management of an established,Remote e/m est. pt 40mins,2025-09-12
"90001003Cms innovation center models, home visit for patient assessment performed by",Cmmi mod home visit,2025-09-12
"96001003Documentation of reason for not detecting adenoma(s) or other neoplasm. (e.g.,",Doc rsn no adeno/neopl detec,2025-09-12
97001003Received instruction from the anesthesiologist or proxy prior to the day of,Rec inst no smoke day surg,2025-09-12
98001003Antibiotic regimen prescribed,Abx reg prescribed,2025-09-12
99001003Patient did not start or is not receiving antiviral treatment for hepatitis c,No start/rec antvir tx hep c,2025-09-12
00001003Radiation exposure indices documented in final report for procedure using,Rad expos ind/exp tm doc,2025-09-12
01001003Radiation exposure indices not documented in final report for procedure using,Rad expos ind/exp tm no doc,2025-09-12
"02001003Documentation of medical reason for not performing foot exam (i.e., patients",Med reas no perf foot exam,2025-09-12
03001003Patient taking tamsulosin hydrochloride,Pt tk tams hcl,2025-09-12
"04001003Documented reason for not assessing hepatitis b virus (hbv) status (e.g.,",Doc rsn hep b stat not asses,2025-09-12
05001003Antibiotic regimen prescribed within 10 days after onset of symptoms for,Abx pres w/in 10 dys of symp,2025-09-12
06001003Biologic immune response modifier prescribed,Bio imm resp mod presc,2025-09-12
07001003Documentation that the patient is on a statin medication or has documentation,Doc reas on statin or contra,2025-09-12
08001003Documentation that the patient is not on a statin medication,Doc pt not on statin,2025-09-12
09001003Adult patients 18 years of age or older with major depression or dysthymia who,Adit mdd dys rem 12 mnths,2025-09-12
10001003Adult patients 18 years of age or older with major depression or dysthymia who,Remis12m not phq-9 score <5,2025-09-12
11001003Index event date phq-9 or phq-9m score greater than 9 documented during the,Idx evt dte phq>9 doc 12 mo,2025-09-12
12001003Individual had a pdc of 0.8 or greater,Indiv pdc > 0.8,2025-09-12
13001003Individual did not have a pdc of 0.8 or greater,Indiv pdc not > 0.8,2025-09-12
14001003Patient required a return to the operating room within 90 days of surgery,Req ret or w/in 90d of surg,2025-09-12
15001003Patient did not require a return to the operating room within 90 days of surger,"No reas, no ret or w/in 90d",2025-09-12
"16001003Patient achieved an improvement in visual acuity, from their preoperative",Impr vis acuit w/in 90d,2025-09-12
"17001003Patient did not achieve an improvement in visual acuity, from their",No impr vis acuit w/in 90d,2025-09-12
18001003Documentation of active injection drug use,Doc active inj drug use,2025-09-12
19001003Patient achieves final refraction (spherical equivalent) +/- 1.0 diopters of,Final ref +/- 1.0 w/in 90d,2025-09-12
20001003Patient does not achieve final refraction (spherical equivalent) +/- 1.0,Refract not +/- 1.0 w/in 90d,2025-09-12
21001003Total number of emergency department visits and inpatient hospitalizations less,Er and ip hosp <2 in 12 mos,2025-09-12
22001003Total number of emergency department visits and inpatient hospitalizations,Er/ip hosp =/>2 in 12 mos,2025-09-12
23001003Patient discontinued from hemodialysis or peritoneal dialysis,D/c hemo or perit dialysis,2025-09-12
24001003Patient was referred to hospice care,Refer to hospice,2025-09-12
"25001003Documentation of patient reason(s) for not referring to hospice care (e.g.,",Doc pt reas no hospice refer,2025-09-12
"26001003Patient was not referred to hospice care, reason not given","No reason, no refer hospice",2025-09-12
29001003Patient with minor blunt head trauma had an appropriate indication(s) for a,Minor blunt trauma w/head ct,2025-09-12
30001003Patient presented with a minor blunt head trauma  and had a head ct ordered for,Pt mbht hd ct ord ec prov,2025-09-12
"31001003Patient has documentation of ventricular shunt, brain tumor, multisystem",Pt doc,2025-09-12
32001003Patient had a head ct for trauma ordered by someone other than an emergency,Pt hd ct ord,2025-09-12
33001003Patient with minor blunt head trauma did not have an appropriate indication(s),Indic for head ct not valid,2025-09-12
"34001003Advanced brain imaging (cta, ct, mra or mri) was not ordered",Adv brain image not ordered,2025-09-12
35001003Patients with a normal neurological examination,Normal neuro exam,2025-09-12
36001003Documentation of medical reason(s) for ordering an advanced brain imaging study,Doc med reas adv brain image,2025-09-12
37001003Imaging needed as part of a clinical trial; or other clinician ordered the stud,Img hd clin trial,2025-09-12
"38001003Advanced brain imaging (cta, ct, mra or mri) was ordered",Adv brain image ordered,2025-09-12
39001003Intent for potential removal at time of placement,Intent pot remv time placemt,2025-09-12
40001003Patient alive 3 months post procedure,Pt alive 3 mos post proc,2025-09-12
41001003Filter removed within 3 months of placement,Filter rem 3 mon plmt,2025-09-12
42001003Documented re-assessment for the appropriateness of filter removal within 3,Doc reass appr remo filt 3ms,2025-09-12
43001003Documentation of at least two attempts to reach the patient to arrange a,Doc 2x re-assess filt remov,2025-09-12
"44001003Patients that do not have the filter removed, documented re-assessment for the",No filt remov w/in 3mos plcm,2025-09-12
"47001003Cystic renal lesion that is simple appearing (bosniak i or ii) , or adrenal",Cys ren les or adren,2025-09-12
48001003Final reports for imaging studies stating no  follow-up imaging is recommended,No f/u rec image study,2025-09-12
"49001003Documentation of medical reason(s) that follow-up imaging is indicated (e.g.,",Doc med rsn for f/u imag,2025-09-12
"50001003Final reports for imaging studies with follow-up imaging recommended, or final",Imag rec,2025-09-12
51001003Final reports for imaging studies without an incidentally found lesion noted,Imag no les,2025-09-12
52001003Incidental thyroid nodule < 1.0 cm noted in report,Inc thyr node <1.0 in rpt,2025-09-12
53001003Prior thyroid disease diagnosis,Prior thyroid dise dx,2025-09-12
"54001003Final reports for ct, cta, mri or mra of the chest or neck with follow-up",Ct/cta/mri/a chst foll rec,2025-09-12
"55001003Documentation of medical reason(s) for recommending follow up imaging (e.g.,",Doc med rsn for follup image,2025-09-12
"56001003Final reports for ct, cta, mri or mra of the chest or neck with follow-up",Ct/cta/mri/a no follup imag,2025-09-12
"57001003Final reports for ct, cta, mri or mra studies of the chest or neck without an",Ct/cta/mri/a no thyr <1.0cm,2025-09-12
58001003Patient treated with a beta-lactam antibiotic as definitive therapy,Tx beta-lactam abx therapy,2025-09-12
59001003Documentation of medical reason(s) for not prescribing a beta-lactam antibiotic,Doc med reas no abx therapy,2025-09-12
"60001003Patient not treated with a beta-lactam antibiotic as definitive therapy, reason","No beta-lactam abx ther, rng",2025-09-12
61001003Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,2025-09-12
62001003Patients who had a follow-up evaluation conducted at least every three months,Foll-up eval q3mo opiod tx,2025-09-12
63001003Patients who did not have a follow-up evaluation conducted at least every three,No f/u eval q3mo opiod tx,2025-09-12
72001003Index date phq-score greater than 9 documented during the twelve month,Phq-scr >9 doc in 12m time,2025-09-12
73001003Adult patients 18 years of age or older with major depression or dysthymia who,Adl pt md or dys rem 6 mon,2025-09-12
74001003Adult patients 18 years of age or older with major depression or dysthymia who,Adl pt md dys no rem 6 mon,2025-09-12
77001003Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,2025-09-12
78001003Documentation of signed opioid treatment agreement at least once during opioid,Doc opioid tx 1x during ther,2025-09-12
79001003No documentation of signed an opioid treatment agreement at least once during,No doc opioid tx 1x at ther,2025-09-12
80001003Door to puncture time of 90 minutes or less,Door to punc time <2hrs,2025-09-12
81001003Door to puncture time of greater than 2 hours for reasons documented by,"Md doc, door to punc tm >2hr",2025-09-12
"82001003Door to puncture time of greater than 90 minutes, no reason given","Door to punc time >2hr, nrg",2025-09-12
83001003Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,2025-09-12
84001003Patient evaluated for risk of misuse of opiates by using a brief validated,Eval opioid use instr/pt int,2025-09-12
85001003Patient not evaluated for risk of misuse of opiates by using a brief validated,No eval opi use instr/intv,2025-09-12
93001003Pediatric patient with minor blunt head trauma classified as low risk according,Low pecarn ped head trauma,2025-09-12
94001003Patient presented with a minor blunt head trauma and had a head ct ordered for,Pt mbht hd ct ord ec prov,2025-09-12
"95001003Patient has documentation of ventricular shunt, brain tumor, or coagulopathy",Doc shnt/tum/coag,2025-09-12
96001003Pediatric patient had a head ct for trauma ordered by someone other than an,Ped pt hd ct ord,2025-09-12
97001003Pediatric patient with minor blunt head trauma not classified as low risk,No low pecarn ped head traum,2025-09-12
98001003Aortic aneurysm 5.5 - 5.9 cm maximum diameter on centerline formatted ct or,Aor ane 5.5-5.9 cm max diam,2025-09-12
99001003Aortic aneurysm 6.0 cm or greater maximum diameter on centerline formatted ct,Aor ane >=6.0 cm max diam,2025-09-12
00001003Symptomatic aaas that required urgent/emergent (non-elective) repair,Symp aaa urgent repair,2025-09-12
01001003Patient discharge to home no later than post-operative day #7,Pt dchg home post op day 7,2025-09-12
